run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_001_long32_ADVERSARIAL_0_0_NONE,seed_001_long32,0,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,38,0.791667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.125000,3.000000,4.000000,32,0,0,8,,,,3,0.000000,0,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_0_NONE.log
seed_001_long32_ADVERSARIAL_0_0_RESET,seed_001_long32,0,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,19,0.760000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,2.000000,3.000000,3.000000,16,0,0,4,,,,3,0.000000,0,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_0_RESET.log
seed_001_long32_ADVERSARIAL_0_0_TIMEOUT,seed_001_long32,0,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,2,19,0.730769,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,1.923077,3.000000,3.000000,16,0,1,4,,,,3,0.000000,0,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_0_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_10_NONE,seed_001_long32,10,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,44,0.916667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.458333,4.000000,4.000000,32,0,0,8,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_10_NONE.log
seed_001_long32_ADVERSARIAL_0_10_RESET,seed_001_long32,10,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,27,1.038462,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,2.666667,4.000000,4.000000,16,0,0,4,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_10_RESET.log
seed_001_long32_ADVERSARIAL_0_10_TIMEOUT,seed_001_long32,10,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,2,28,1.000000,0.000000,1.000000,1.000000,0.531250,0.000000,0.000000,0.000000,2.571429,4.000000,4.000000,17,0,1,4,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_10_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_11_NONE,seed_001_long32,11,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,44,0.916667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.458333,4.000000,4.000000,32,0,0,8,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_11_NONE.log
seed_001_long32_ADVERSARIAL_0_11_RESET,seed_001_long32,11,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,25,0.961538,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,2.250000,4.000000,4.000000,16,0,0,4,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_11_RESET.log
seed_001_long32_ADVERSARIAL_0_11_TIMEOUT,seed_001_long32,11,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,2,26,0.928571,0.000000,1.000000,1.000000,0.531250,0.000000,0.000000,0.000000,2.285714,4.000000,4.000000,17,0,1,4,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_11_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_12_NONE,seed_001_long32,12,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,2,36,0.750000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.125000,4.000000,4.000000,32,0,0,8,,,,3,1.000000,1,out/logs_sw2/seed_001_long32_ADVERSARIAL_0_12_NONE.log
