run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_001_long32_ADVERSARIAL_0_0_NONE,seed_001_long32,0,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,6,74,1.541667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.416667,8.000000,9.000000,32,0,0,8,,,,3,5.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_0_NONE.log
seed_001_long32_ADVERSARIAL_0_0_RESET,seed_001_long32,0,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,6,44,1.571429,0.000000,0.982609,1.000000,0.500000,0.000000,0.000000,0.000000,3.666667,7.000000,9.000000,16,0,0,5,,,,3,4.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_0_RESET.log
seed_001_long32_ADVERSARIAL_0_0_TIMEOUT,seed_001_long32,0,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,6,50,1.562500,0.000000,1.000000,1.000000,0.625000,0.000000,0.000000,0.000000,4.500000,9.000000,9.000000,20,0,1,5,,,,3,6.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_0_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_10_NONE,seed_001_long32,10,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,10,230,4.791667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,14.583333,19.000000,20.000000,32,0,0,8,,,,3,16.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_10_NONE.log
seed_001_long32_ADVERSARIAL_0_10_RESET,seed_001_long32,10,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,10,145,4.833333,0.000000,0.960245,1.000000,0.500000,0.000000,0.000000,0.000000,13.500000,19.000000,19.000000,16,0,0,6,,,,3,16.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_10_RESET.log
seed_001_long32_ADVERSARIAL_0_10_TIMEOUT,seed_001_long32,10,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,10,160,4.444444,0.000000,1.000000,1.000000,0.718750,0.000000,0.000000,0.000000,13.555556,19.000000,19.000000,23,0,1,6,,,,3,16.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_10_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_11_NONE,seed_001_long32,11,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,15,288,6.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,18.000000,25.000000,25.000000,32,0,0,8,,,,3,22.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_11_NONE.log
seed_001_long32_ADVERSARIAL_0_11_RESET,seed_001_long32,11,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,15,209,6.147059,0.000000,0.904202,1.000000,0.500000,0.000000,0.000000,0.000000,14.916667,24.000000,25.000000,16,0,0,7,,,,3,21.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_11_RESET.log
seed_001_long32_ADVERSARIAL_0_11_TIMEOUT,seed_001_long32,11,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,15,254,5.772727,0.000000,1.000000,1.000000,0.875000,0.000000,0.000000,0.000000,17.000000,24.000000,25.000000,28,0,1,7,,,,3,21.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_11_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_12_NONE,seed_001_long32,12,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,8,140,2.916667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,8.541667,14.000000,17.000000,32,0,0,8,,,,3,11.000000,1,out/logs_swinf/seed_001_long32_ADVERSARIAL_0_12_NONE.log
