seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_002,ADVERSARIAL,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.890000,1.441492,4.000000,21.140000,9.762192,18.000000,0.461788,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.830000,1.510331,4.000000,16.960000,10.504209,13.500000,0.619352,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.830000,1.510331,4.000000,18.350000,11.676793,15.000000,0.636338,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,1,NONE,100,0.000000,0.000000,0.000000,0.174286,0.063944,0.860000,0.117189,3.890000,1.441492,4.000000,21.340000,10.012213,19.000000,0.469176,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,1,RESET,100,0.000000,0.000000,0.000000,0.080000,0.127976,0.842500,0.120701,3.830000,1.510331,4.000000,15.910000,9.461601,13.500000,0.594695,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.170762,0.076375,1.000000,0.000000,3.830000,1.510331,4.000000,18.790000,11.778196,15.000000,0.626833,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,2,NONE,100,0.000000,0.000000,0.000000,0.272143,0.134750,0.768333,0.216852,3.890000,1.441492,4.000000,21.560000,10.334718,18.000000,0.479347,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,2,RESET,100,0.000000,0.000000,0.000000,0.121667,0.172972,0.742500,0.219246,3.830000,1.510331,4.000000,16.500000,9.726767,14.000000,0.589501,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.260452,0.132189,0.830000,0.166007,3.830000,1.510331,4.000000,19.030000,12.091695,15.000000,0.635402,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,3,NONE,100,0.000000,0.000000,0.000000,0.328571,0.193517,0.716667,0.289636,3.890000,1.441492,4.000000,21.880000,10.919048,18.000000,0.499042,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,3,RESET,100,0.000000,0.000000,0.000000,0.140000,0.177514,0.687500,0.292350,3.830000,1.510331,4.000000,17.160000,10.534439,14.000000,0.613895,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,3,TIMEOUT,100,0.000000,1.000000,0.000000,0.304952,0.172329,0.747500,0.272133,3.830000,1.510331,4.000000,19.350000,12.655730,15.000000,0.654043,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,5,NONE,100,0.000000,0.000000,0.000000,0.365000,0.243622,0.705000,0.311676,3.890000,1.441492,4.000000,21.820000,10.848392,18.000000,0.497177,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,5,RESET,100,0.000000,0.000000,0.000000,0.210000,0.193821,0.675833,0.313115,3.830000,1.510331,4.000000,17.250000,10.691469,14.000000,0.619795,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,5,TIMEOUT,100,0.000000,1.000000,0.000000,0.342238,0.216202,0.729167,0.305306,3.830000,1.510331,4.000000,19.290000,12.582762,15.000000,0.652295,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,10,NONE,100,0.000000,0.000000,0.000000,0.366071,0.245696,0.705000,0.311676,3.890000,1.441492,4.000000,21.820000,10.848392,18.000000,0.497177,0.370564,1.000000,0.000000
seed_002,ADVERSARIAL,10,RESET,100,0.000000,0.000000,0.000000,0.215000,0.200409,0.675833,0.313115,3.830000,1.510331,4.000000,17.250000,10.691469,14.000000,0.619795,0.394342,1.000000,0.000000
seed_002,ADVERSARIAL,10,TIMEOUT,100,0.000000,1.000000,0.000000,0.343310,0.218123,0.729167,0.305306,3.830000,1.510331,4.000000,19.290000,12.582762,15.000000,0.652295,0.394342,1.000000,0.000000
