seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_001_long32,ADVERSARIAL,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,2.000000,38.980000,3.446680,38.000000,0.088422,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,2.000000,22.300000,2.984962,22.000000,0.133855,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,2.000000,0.000000,2.000000,22.780000,3.198687,22.500000,0.140416,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,NONE,100,0.000000,0.000000,0.000000,0.031270,0.005353,0.995881,0.003360,2.000000,0.000000,2.000000,40.000000,4.647580,40.000000,0.116190,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,RESET,100,0.000000,0.000000,0.000000,0.060250,0.016868,0.987609,0.014644,2.000000,0.000000,2.000000,22.600000,3.432200,22.000000,0.151867,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.057353,0.014445,0.987742,0.014451,2.000000,0.000000,2.000000,23.020000,3.588816,22.000000,0.155900,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,NONE,100,0.000000,0.000000,0.000000,0.031270,0.005353,0.995881,0.003360,2.000000,0.000000,2.000000,40.000000,4.647580,40.000000,0.116190,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,RESET,100,0.000000,0.000000,0.000000,0.060250,0.016868,0.987609,0.014644,2.000000,0.000000,2.000000,22.600000,3.432200,22.000000,0.151867,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.057353,0.014445,0.987742,0.014451,2.000000,0.000000,2.000000,23.020000,3.588816,22.000000,0.155900,0.000000,1.000000,0.000000
seed_001_long32,ADVERSARIAL,3,NONE,100,0.000000,0.000000,0.000000,0.031270,0.005353,0.995881,0.003360,2.000000,0.000000,2.000000,40.000000,4.647580,40.000000,0.116190,0.000000,1.000000,0.000000
