seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_001_long32,ADVERSARIAL,3,TIMEOUT,100,0.000000,1.000000,0.000000,0.150388,0.050685,0.914662,0.080939,3.920000,0.305941,4.000000,41.840000,12.285536,41.500000,0.293631,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,5,NONE,100,0.000000,0.000000,0.000000,0.089536,0.022730,0.965052,0.026681,3.990000,0.099499,4.000000,73.260000,15.906364,72.000000,0.217122,0.024937,1.000000,0.000000
seed_001_long32,ADVERSARIAL,5,RESET,100,0.000000,0.000000,0.000000,0.136417,0.053042,0.908971,0.082715,3.920000,0.305941,4.000000,40.600000,11.959933,38.500000,0.294580,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,5,TIMEOUT,100,0.000000,1.000000,0.000000,0.150388,0.050685,0.914662,0.080939,3.920000,0.305941,4.000000,41.840000,12.285536,41.500000,0.293631,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,10,NONE,100,0.000000,0.000000,0.000000,0.089536,0.022730,0.965052,0.026681,3.990000,0.099499,4.000000,73.260000,15.906364,72.000000,0.217122,0.024937,1.000000,0.000000
seed_001_long32,ADVERSARIAL,10,RESET,100,0.000000,0.000000,0.000000,0.136417,0.053042,0.908971,0.082715,3.920000,0.305941,4.000000,40.600000,11.959933,38.500000,0.294580,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,10,TIMEOUT,100,0.000000,1.000000,0.000000,0.150388,0.050685,0.914662,0.080939,3.920000,0.305941,4.000000,41.840000,12.285536,41.500000,0.293631,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,inf,NONE,100,0.000000,0.000000,0.000000,0.089536,0.022730,0.965052,0.026681,3.990000,0.099499,4.000000,73.260000,15.906364,72.000000,0.217122,0.024937,1.000000,0.000000
seed_001_long32,ADVERSARIAL,inf,RESET,100,0.000000,0.000000,0.000000,0.136417,0.053042,0.908971,0.082715,3.920000,0.305941,4.000000,40.600000,11.959933,38.500000,0.294580,0.078046,1.000000,0.000000
seed_001_long32,ADVERSARIAL,inf,TIMEOUT,100,0.000000,1.000000,0.000000,0.150388,0.050685,0.914662,0.080939,3.920000,0.305941,4.000000,41.840000,12.285536,41.500000,0.293631,0.078046,1.000000,0.000000
seed_001_long32,BATCHED,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.999158,0.002856,3.800000,0.400000,4.000000,26.080000,3.928562,27.000000,0.150635,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,1,NONE,100,0.000000,0.000000,0.000000,0.015141,0.004440,0.999365,0.001107,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,1,RESET,100,0.000000,0.000000,0.000000,0.030917,0.011505,0.997513,0.005204,3.800000,0.400000,4.000000,26.080000,3.928562,27.000000,0.150635,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.027888,0.009714,0.998197,0.004255,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,2,NONE,100,0.000000,0.000000,0.000000,0.021311,0.006137,0.998562,0.001382,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,2,RESET,100,0.000000,0.000000,0.000000,0.041667,0.018333,0.995030,0.006522,3.800000,0.400000,4.000000,26.120000,3.963029,27.000000,0.151724,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.038173,0.015612,0.995767,0.006229,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,3,NONE,100,0.000000,0.000000,0.000000,0.023609,0.006886,0.998057,0.001827,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,3,RESET,100,0.000000,0.000000,0.000000,0.045750,0.019525,0.993852,0.007899,3.800000,0.400000,4.000000,26.120000,3.947860,27.000000,0.151143,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,3,TIMEOUT,100,0.000000,1.000000,0.000000,0.041824,0.016706,0.994588,0.007627,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,5,NONE,100,0.000000,0.000000,0.000000,0.023609,0.006886,0.998057,0.001827,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,5,RESET,100,0.000000,0.000000,0.000000,0.045750,0.019525,0.993852,0.007899,3.800000,0.400000,4.000000,26.120000,3.947860,27.000000,0.151143,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,5,TIMEOUT,100,0.000000,1.000000,0.000000,0.041824,0.016706,0.994588,0.007627,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,10,NONE,100,0.000000,0.000000,0.000000,0.023609,0.006886,0.998057,0.001827,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,10,RESET,100,0.000000,0.000000,0.000000,0.045750,0.019525,0.993852,0.007899,3.800000,0.400000,4.000000,26.120000,3.947860,27.000000,0.151143,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,10,TIMEOUT,100,0.000000,1.000000,0.000000,0.041824,0.016706,0.994588,0.007627,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,inf,NONE,100,0.000000,0.000000,0.000000,0.023609,0.006886,0.998057,0.001827,3.910000,0.286182,4.000000,46.480000,5.485399,48.000000,0.118016,0.073192,1.000000,0.000000
seed_001_long32,BATCHED,inf,RESET,100,0.000000,0.000000,0.000000,0.045750,0.019525,0.993852,0.007899,3.800000,0.400000,4.000000,26.120000,3.947860,27.000000,0.151143,0.105263,1.000000,0.000000
seed_001_long32,BATCHED,inf,TIMEOUT,100,0.000000,1.000000,0.000000,0.041824,0.016706,0.994588,0.007627,3.800000,0.400000,4.000000,26.670000,4.289650,27.000000,0.160842,0.105263,1.000000,0.000000
