run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_001_long32_ADVERSARIAL_0_12_NONE,seed_001_long32,12,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,70,1.458333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.333333,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_12_NONE.log
seed_001_long32_ADVERSARIAL_0_12_RESET,seed_001_long32,12,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,40,1.481481,0.000000,0.989474,1.000000,0.500000,0.000000,0.000000,0.000000,3.500000,6.000000,7.000000,16,0,0,5,,,,3,3.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_12_RESET.log
seed_001_long32_ADVERSARIAL_0_12_TIMEOUT,seed_001_long32,12,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,43,1.433333,0.000000,1.000000,1.000000,0.593750,0.000000,0.000000,0.000000,3.866667,6.000000,7.000000,19,0,1,5,,,,3,3.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_12_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_17_NONE,seed_001_long32,17,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,48,1.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.083333,7.000000,7.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_17_NONE.log
seed_001_long32_ADVERSARIAL_0_17_RESET,seed_001_long32,17,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,35,1.400000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,4.416667,7.000000,7.000000,16,0,0,4,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_17_RESET.log
seed_001_long32_ADVERSARIAL_0_17_TIMEOUT,seed_001_long32,17,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,35,1.346154,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,4.153846,7.000000,7.000000,16,0,1,4,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_17_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_18_NONE,seed_001_long32,18,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,94,1.958333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,5.875000,8.000000,8.000000,32,0,0,8,,,,3,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_18_NONE.log
seed_001_long32_ADVERSARIAL_0_18_RESET,seed_001_long32,18,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,55,2.200000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,6.500000,8.000000,8.000000,16,0,0,4,,,,3,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_18_RESET.log
seed_001_long32_ADVERSARIAL_0_18_TIMEOUT,seed_001_long32,18,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,55,2.115385,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,6.153846,8.000000,8.000000,16,0,1,4,,,,3,5.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_18_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_27_NONE,seed_001_long32,27,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,62,1.291667,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.958333,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_27_NONE.log
seed_001_long32_ADVERSARIAL_0_27_RESET,seed_001_long32,27,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,42,1.555556,0.000000,0.989474,1.000000,0.500000,0.000000,0.000000,0.000000,4.833333,7.000000,8.000000,16,0,0,5,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_27_RESET.log
seed_001_long32_ADVERSARIAL_0_27_TIMEOUT,seed_001_long32,27,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,45,1.500000,0.000000,1.000000,1.000000,0.593750,0.000000,0.000000,0.000000,4.866667,7.000000,8.000000,19,0,1,5,,,,3,4.000000,1,out/rdss_sw4/round_00/seed_001_long32_ADVERSARIAL_0_27_TIMEOUT.log
