run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_001_long32_ADVERSARIAL_0_24_NONE,seed_001_long32,24,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,70,1.458333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.416667,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_24_NONE.log
seed_001_long32_ADVERSARIAL_0_24_RESET,seed_001_long32,24,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,41,1.576923,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,4.750000,8.000000,8.000000,16,0,0,5,,,,3,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_24_RESET.log
seed_001_long32_ADVERSARIAL_0_24_TIMEOUT,seed_001_long32,24,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,42,1.500000,0.000000,1.000000,1.000000,0.562500,0.000000,0.000000,0.000000,4.714286,8.000000,8.000000,18,0,1,5,,,,3,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_24_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_31_NONE,seed_001_long32,31,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,70,1.458333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.500000,8.000000,8.000000,32,0,0,8,,,,3,5.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_31_NONE.log
seed_001_long32_ADVERSARIAL_0_31_RESET,seed_001_long32,31,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,26,0.962963,0.000000,0.989474,1.000000,0.500000,0.000000,0.000000,0.000000,2.250000,4.000000,5.000000,16,0,0,5,,,,3,1.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_31_RESET.log
seed_001_long32_ADVERSARIAL_0_31_TIMEOUT,seed_001_long32,31,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,29,0.966667,0.000000,1.000000,1.000000,0.593750,0.000000,0.000000,0.000000,2.866667,6.000000,6.000000,19,0,1,5,,,,3,3.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_31_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_41_NONE,seed_001_long32,41,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,78,1.625000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.708333,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_41_NONE.log
seed_001_long32_ADVERSARIAL_0_41_RESET,seed_001_long32,41,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,45,1.730769,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,4.833333,7.000000,8.000000,16,0,0,4,,,,3,4.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_41_RESET.log
seed_001_long32_ADVERSARIAL_0_41_TIMEOUT,seed_001_long32,41,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,46,1.642857,0.000000,1.000000,1.000000,0.531250,0.000000,0.000000,0.000000,4.642857,7.000000,8.000000,17,0,1,4,,,,3,4.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_41_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_8_NONE,seed_001_long32,8,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,72,1.500000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.416667,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_01/seed_001_long32_ADVERSARIAL_0_8_NONE.log
