run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_001_long32_ADVERSARIAL_0_11_NONE,seed_001_long32,11,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,82,1.708333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,5.416667,8.000000,8.000000,32,0,0,8,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_11_NONE.log
seed_001_long32_ADVERSARIAL_0_11_RESET,seed_001_long32,11,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,45,1.730769,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,5.000000,8.000000,8.000000,16,0,0,5,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_11_RESET.log
seed_001_long32_ADVERSARIAL_0_11_TIMEOUT,seed_001_long32,11,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,46,1.642857,0.000000,1.000000,1.000000,0.562500,0.000000,0.000000,0.000000,5.142857,8.000000,8.000000,18,0,1,5,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_11_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_40_NONE,seed_001_long32,40,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,72,1.500000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,4.666667,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_40_NONE.log
seed_001_long32_ADVERSARIAL_0_40_RESET,seed_001_long32,40,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,49,1.960000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,6.250000,8.000000,8.000000,16,0,0,4,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_40_RESET.log
seed_001_long32_ADVERSARIAL_0_40_TIMEOUT,seed_001_long32,40,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,49,1.884615,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,6.000000,8.000000,8.000000,16,0,1,4,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_40_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_56_NONE,seed_001_long32,56,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,52,1.083333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.041667,7.000000,8.000000,32,0,0,8,,,,3,4.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_56_NONE.log
seed_001_long32_ADVERSARIAL_0_56_RESET,seed_001_long32,56,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,34,1.259259,0.000000,0.989474,1.000000,0.500000,0.000000,0.000000,0.000000,2.666667,6.000000,7.000000,16,0,0,5,,,,3,3.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_56_RESET.log
seed_001_long32_ADVERSARIAL_0_56_TIMEOUT,seed_001_long32,56,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,37,1.233333,0.000000,1.000000,1.000000,0.593750,0.000000,0.000000,0.000000,3.400000,7.000000,8.000000,19,0,1,5,,,,3,4.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_56_TIMEOUT.log
seed_001_long32_ADVERSARIAL_0_76_NONE,seed_001_long32,76,ADVERSARIAL,0,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,88,1.833333,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,5.875000,8.000000,8.000000,32,0,0,8,,,,3,5.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_76_NONE.log
seed_001_long32_ADVERSARIAL_0_76_RESET,seed_001_long32,76,ADVERSARIAL,0,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,52,1.925926,0.000000,0.989474,1.000000,0.500000,0.000000,0.000000,0.000000,5.833333,7.000000,8.000000,16,0,0,5,,,,3,4.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_76_RESET.log
seed_001_long32_ADVERSARIAL_0_76_TIMEOUT,seed_001_long32,76,ADVERSARIAL,0,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,55,1.833333,0.000000,1.000000,1.000000,0.593750,0.000000,0.000000,0.000000,5.800000,7.000000,8.000000,19,0,1,5,,,,3,4.000000,1,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_0_76_TIMEOUT.log
seed_001_long32_ADVERSARIAL_10_11_NONE,seed_001_long32,11,ADVERSARIAL,10,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,88,1.833333,0.120968,0.940415,1.000000,1.000000,0.125000,6.000000,17.000000,5.416667,17.000000,40.000000,32,0,0,8,,,,23,-6.000000,0,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_10_11_NONE.log
seed_001_long32_ADVERSARIAL_10_11_RESET,seed_001_long32,11,ADVERSARIAL,10,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,51,1.961538,0.183333,0.880000,1.000000,0.500000,0.166667,6.000000,8.000000,5.166667,17.000000,19.000000,16,0,0,5,,,,23,-6.000000,0,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_10_11_RESET.log
seed_001_long32_ADVERSARIAL_10_11_TIMEOUT,seed_001_long32,11,ADVERSARIAL,10,TIMEOUT,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,1,0,0,4,52,1.857143,0.175439,0.886667,1.000000,0.562500,0.357143,6.000000,8.000000,5.571429,17.000000,19.000000,18,0,1,5,,,,23,-6.000000,0,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_10_11_TIMEOUT.log
seed_001_long32_ADVERSARIAL_10_40_NONE,seed_001_long32,40,ADVERSARIAL,10,NONE,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,78,1.625000,0.100806,0.958549,1.000000,1.000000,0.083333,4.000000,16.000000,4.625000,10.000000,37.000000,32,0,0,8,,,,23,-13.000000,0,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_10_40_NONE.log
seed_001_long32_ADVERSARIAL_10_40_RESET,seed_001_long32,40,ADVERSARIAL,10,RESET,32,v1.0,f5066ceac2cd38a1d22cfaaa22b2fc8b1a31993c,0,0,0,0,4,55,2.200000,0.175000,0.750000,1.000000,0.500000,-1.166667,1.000000,4.000000,3.500000,8.000000,12.000000,16,0,0,4,,,,23,-15.000000,0,out/rdss_sw4/round_02/seed_001_long32_ADVERSARIAL_10_40_RESET.log
