seed_id,policy,bound_k,fault_mode,runs_n,mismatch_rate,timeout_rate,crash_rate,RD_mean,RD_std,FE_mean,FE_std,pending_peak_mean,pending_peak_std,pending_peak_median,pending_area_mean,pending_area_std,pending_area_median,SSI_area,SSI,RCS_mean,RCS_std
seed_001_long32,ADVERSARIAL,0,NONE,100,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,8.770000,3.221351,8.000000,139.040000,74.840887,120.000000,0.538269,0.367315,1.000000,0.000000
seed_001_long32,ADVERSARIAL,0,RESET,100,0.000000,0.000000,0.000000,0.000000,0.000000,0.975375,0.034662,7.610000,3.540890,7.000000,82.330000,61.755333,61.000000,0.750095,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,0,TIMEOUT,100,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,7.610000,3.540890,7.000000,93.690000,77.210711,65.000000,0.824108,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,NONE,100,0.000000,0.000000,0.000000,0.051673,0.008282,0.949365,0.042564,8.770000,3.221351,8.000000,142.800000,77.755514,125.000000,0.544506,0.367315,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,RESET,100,0.000000,0.000000,0.000000,0.036417,0.037299,0.907515,0.073518,7.610000,3.540890,7.000000,84.910000,65.018012,57.000000,0.765729,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,1,TIMEOUT,100,0.000000,1.000000,0.000000,0.073664,0.015336,0.944215,0.045434,7.610000,3.540890,7.000000,95.850000,80.157642,62.000000,0.836282,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,NONE,100,0.000000,0.000000,0.000000,0.092439,0.021738,0.915298,0.070948,8.770000,3.221351,8.000000,143.040000,78.606605,122.000000,0.549543,0.367315,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,RESET,100,0.000000,0.000000,0.000000,0.062917,0.060201,0.865978,0.104232,7.610000,3.540890,7.000000,85.570000,65.945774,57.500000,0.770665,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,2,TIMEOUT,100,0.000000,1.000000,0.000000,0.127868,0.034837,0.897807,0.083133,7.610000,3.540890,7.000000,95.910000,80.735010,61.500000,0.841779,0.465294,1.000000,0.000000
seed_001_long32,ADVERSARIAL,3,NONE,100,0.000000,0.000000,0.000000,0.124819,0.037405,0.892578,0.088214,8.770000,3.221351,8.000000,142.960000,76.473514,126.000000,0.534929,0.367315,1.000000,0.000000
