seed_id,policy,runs_n,RD_mean,FE_mean,pending_peak_median,mismatch_rate,crash_rate,timeout_rate
seed_001_long32,FIFO,100,0.000000,1.000000,8.000000,0.000000,0.000000,0.000000
seed_001_long32,RANDOM,100,0.098206,0.957202,8.000000,0.000000,0.000000,0.000000
seed_001_long32,BATCHED,100,0.029194,0.996127,5.000000,0.000000,0.000000,0.000000
seed_001_long32,ADVERSARIAL,100,0.218186,0.834819,8.000000,0.000000,0.000000,0.000000
