run_id,seed_id,schedule_seed,policy,bound_k,fault_mode,n_cmds,scheduler_version,git_commit,mismatch,timeout,crash,pending_left,pending_peak,pending_area,pending_mean,RD,FE,RCS,completion_rate,mean_latency_disp,p95_latency_disp,max_latency_disp,mean_latency_step,p95_latency_step,max_latency_step,n_ok,n_err,n_timeout,n_fences,viol_complete_unexpected,viol_reset_pending_mismatch,viol_bound_k_overflow,tail_budget_step,tail_slack_step,tail_exceed,log_file
seed_002_ADVERSARIAL_0_0_NONE,seed_002,0,ADVERSARIAL,0,NONE,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,2,15,1.071429,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.571429,3.000000,4.000000,8,0,0,1,,,,3,0.000000,0,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_0_NONE.log
seed_002_ADVERSARIAL_0_0_RESET,seed_002,0,ADVERSARIAL,0,RESET,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,2,9,1.000000,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,2.500000,3.000000,4.000000,4,0,0,1,,,,3,0.000000,0,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_0_RESET.log
seed_002_ADVERSARIAL_0_0_TIMEOUT,seed_002,0,ADVERSARIAL,0,TIMEOUT,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,1,0,0,2,9,0.900000,0.000000,1.000000,1.000000,0.625000,0.000000,0.000000,0.000000,2.400000,3.000000,4.000000,5,0,1,1,,,,3,0.000000,0,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_0_TIMEOUT.log
seed_002_ADVERSARIAL_0_10_NONE,seed_002,10,ADVERSARIAL,0,NONE,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,5,31,2.214286,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,5.714286,7.000000,7.000000,8,0,0,1,,,,3,4.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_10_NONE.log
seed_002_ADVERSARIAL_0_10_RESET,seed_002,10,ADVERSARIAL,0,RESET,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,5,28,2.545455,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,6.000000,7.000000,7.000000,4,0,0,1,,,,3,4.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_10_RESET.log
seed_002_ADVERSARIAL_0_10_TIMEOUT,seed_002,10,ADVERSARIAL,0,TIMEOUT,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,1,0,0,5,31,2.214286,0.000000,1.000000,1.000000,0.875000,0.000000,0.000000,0.000000,5.714286,7.000000,7.000000,7,0,1,1,,,,3,4.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_10_TIMEOUT.log
seed_002_ADVERSARIAL_0_11_NONE,seed_002,11,ADVERSARIAL,0,NONE,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,5,19,1.357143,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,3.428571,5.000000,6.000000,8,0,0,1,,,,3,2.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_11_NONE.log
seed_002_ADVERSARIAL_0_11_RESET,seed_002,11,ADVERSARIAL,0,RESET,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,5,16,1.454545,0.000000,1.000000,1.000000,0.500000,0.000000,0.000000,0.000000,2.250000,1.000000,6.000000,4,0,0,1,,,,3,-2.000000,0,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_11_RESET.log
seed_002_ADVERSARIAL_0_11_TIMEOUT,seed_002,11,ADVERSARIAL,0,TIMEOUT,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,1,0,0,5,19,1.357143,0.000000,1.000000,1.000000,0.875000,0.000000,0.000000,0.000000,3.428571,5.000000,6.000000,7,0,1,1,,,,3,2.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_11_TIMEOUT.log
seed_002_ADVERSARIAL_0_12_NONE,seed_002,12,ADVERSARIAL,0,NONE,8,v1.0,068238afb544f26d5bb0769be85b69d9a3f022c7,0,0,0,0,3,17,1.214286,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.000000,2.857143,5.000000,5.000000,8,0,0,1,,,,3,2.000000,1,out/logs_swinf_seed2/seed_002_ADVERSARIAL_0_12_NONE.log
